Category,Subcategory,Product Name,Regular Price,Sale Price,Product URL
Rice & Atta,Sona Masoori,Royal Sona Masoori Rice 20 Lb,$26.99 ,$26.99 ,https://instamandi.com/products/royal-sona-masoori-rice-20-lb
Rice & Atta,Sona Masoori,Laxmi Organic Sona Masoori Rice 10 Lb,$17.99 ,$15.99 ,https://instamandi.com/products/laxmi-organic-sona-masoori-rice-10-lb
Rice & Atta,Sona Masoori,Laxmi Sona Masoori Rice 20 Lb,$23.99 ,$19.99 ,https://instamandi.com/products/laxmi-sona-masoori-rice-20-lb-1
Rice & Atta,Sona Masoori,Laxmi Crystal Sona Masoori Rice 20 LB,$32.99 ,$30.99 ,https://instamandi.com/products/laxmi-crystal-sona-masoori-rice-20-lb
Rice & Atta,Sona Masoori,Deccan Sona Masoori Rice 20 LB,$19.99 ,$19.99 ,https://instamandi.com/products/deccan-sona-masoori-rice-20-lb
Rice & Atta,Sona Masoori,Deep Sona Masoori Rice 10 LB,$11.99 ,$11.99 ,https://instamandi.com/products/deep-sona-masoori-rice-10-lb
Rice & Atta,Sona Masoori,Swad Sona Masoori Rice 10 Lb,$11.99 ,$11.99 ,https://instamandi.com/products/swad-sona-masoori-rice-20-lb-1
Rice & Atta,Sona Masoori,Swad Sona Masoori Rice 20 Lb,$23.99 ,$23.99 ,https://instamandi.com/products/swad-sona-masoori-rice-20-lb
Rice & Atta,Sona Masoori,Swad Crystal Sona Masoori Rice 20 Lb,$24.99 ,$24.99 ,https://instamandi.com/products/swad-crystal-sona-masoori-rice-20lb
Rice & Atta,Sona Masoori,Godavari Premium Sona Masoori Rice 20 Lb,$34.99 ,$34.99 ,https://instamandi.com/products/godavari-premium-sona-masoori-rice-20-lb
Rice & Atta,Sona Masoori,Organic Tattva Sona Masoori Rice 10 LB,$15.99 ,$15.99 ,https://instamandi.com/products/organic-tattva-sona-masoori-rice-10-lb
Rice & Atta,Sona Masoori,24M Organic Sona Masuri Rice 10 Lb,$17.99 ,$17.99 ,https://instamandi.com/products/24m-organic-sona-masuri-white-rice-10-lb
Rice & Atta,Sona Masoori,24M Organic Sona Masuri Brown Rice 10 Lb,$19.99 ,$19.99 ,https://instamandi.com/products/24m-organic-sona-masuri-brown-rice-10-lb
Rice & Atta,Sona Masoori,24M Organic Low GI Rice 4 LB,$8.99 ,$8.99 ,https://instamandi.com/products/24m-organic-low-gi-rice-4-lb
Rice & Atta,Sona Masoori,24M Organic Sona Masuri Hand Pounded Rice 10 Lb,$19.99 ,$19.99 ,https://instamandi.com/products/24m-organic-sona-masuri-hand-pounded-rice-10-lb
Rice & Atta,Sona Masoori,24M Organic Hand Pounded Sona Masoori Rice 20 LB,$40.99 ,$36.99 ,https://instamandi.com/products/24m-organic-hand-pounded-sona-masoori-rice-20-lb
Spices,Whole,Swagat Bay Leaves 50 GM,$1.99 ,$1.99 ,https://instamandi.com/products/swagat-bay-leaves-50-gm
Spices,Whole,Swagat Cumin Seeds 400 Gm,$5.99 ,$5.99 ,https://instamandi.com/products/swagat-cumin-seeds-300-gm
Spices,Whole,Laxmi Cumin Seeds 400 Gm,$3.99 ,$3.99 ,https://instamandi.com/products/laxmi-cumin-seeds-400gm
Spices,Whole,Laxmi Coriander Seeds 400 GM,$2.99 ,$2.99 ,https://instamandi.com/products/laxmi-coriander-seeds-400-gm
Spices,Whole,Laxmi Methi Seeds 400 GM,$2.99 ,$2.99 ,https://instamandi.com/products/laxmi-methi-seeds-400-gm
